date,cpi,access_date
2026-02-01,99.5,2021-05-01
2026-03-01,103.9,2021-05-01
2026-04-01,96.9,2021-05-01
2026-05-01,105.1,2021-05-01
2026-06-01,88.7,2021-05-01
2026-07-01,116.3,2021-05-01
2026-08-01,106.3,2021-05-01
2026-09-01,99.8,2021-05-01
2026-10-01,102.8,2021-05-01
2026-11-01,106.6,2021-05-01
2026-12-01,101.7,2021-05-01
2027-01-01,97.7,2021-05-01
2027-02-01,102.4,2021-05-01
2027-03-01,107.2,2021-05-01
2027-04-01,111.1,2021-05-01
2027-05-01,107.2,2021-05-01
2027-06-01,102.2,2021-05-01
2027-07-01,123.7,2021-05-01
2027-08-01,99.4,2021-05-01
2027-09-01,101.2,2021-05-01
2027-10-01,100.2,2021-05-01
2027-11-01,105.9,2021-05-01
2027-12-01,102.7,2021-05-01
2028-01-01,116,2021-05-01
2028-02-01,102.1,2021-05-01
2028-03-01,105.5,2021-05-01
2028-04-01,110.9,2021-05-01
2028-05-01,100.8,2021-05-01
2028-06-01,103.8,2021-05-01
2028-07-01,119.9,2021-05-01
2028-08-01,92.5,2021-05-01
2028-09-01,97.7,2021-05-01
2028-10-01,105,2021-05-01
2028-11-01,104.7,2021-05-01
2028-12-01,102.3,2021-05-01
2029-01-01,116.4,2021-05-01
2029-02-01,105.3,2021-05-01
2029-03-01,110.7,2021-05-01
2029-04-01,90.5,2021-05-01
2029-05-01,94.5,2021-05-01
2029-06-01,108,2021-05-01
2029-07-01,108.9,2021-05-01
2029-08-01,95.8,2021-05-01
2029-09-01,101.6,2021-05-01
2029-10-01,101.5,2021-05-01
2029-11-01,103.9,2021-05-01
2029-12-01,100.8,2021-05-01
2030-01-01,103.4,2021-05-01
2030-02-01,105.6,2021-05-01
2030-03-01,98.5,2021-05-01
2030-04-01,119.2,2021-05-01
2030-05-01,93.7,2021-05-01
2030-06-01,102,2021-05-01
2030-07-01,113.3,2021-05-01
2030-08-01,96.5,2021-05-01
2030-09-01,103.9,2021-05-01
2030-10-01,100.9,2021-05-01
2030-11-01,109,2021-05-01
2030-12-01,95.9,2021-05-01
2031-01-01,106.8,2021-05-01
2031-02-01,107.2,2021-05-01
2031-03-01,106.7,2021-05-01
2031-04-01,110.3,2021-05-01
2031-05-01,105.3,2021-05-01
2031-06-01,92.3,2021-05-01
2031-07-01,117.6,2021-05-01
2031-08-01,97.9,2021-05-01
2031-09-01,121.8,2021-05-01
2031-10-01,115.1,2021-05-01
2031-11-01,106.3,2021-05-01
